L_CR_1h_10kWh,L_CR_1h_20kWh,L_CR_1h_30kWh,L_CR_1h_40kWh,L_CR_1h_50kWh,L_CR_1h_5kWh
535.13,1015.84,1646.205,1632.6,2290.175,195.005
583.51,1038.45,1394.49,2235.14,2695.025,244.7775
461.54,1040.92,1355.16,1944.36,2528.65,287.235
483.28,863,1242.72,2019.42,2049.625,211.435
460.2,866.71,989.43,1487.98,1629.875,212.8425
310.95,704.82,1202.34,1534.02,1779.325,179.66
277.2,535.5,992.25,1348.2,1779.75,135.45
307.4,585.8,800.4,1357.2,1261.5,140.65
270.24,517.96,852.945,1002.14,1435.65,140.75
240.975,680.4,876.015,1122.66,1601.775,140.3325
260.13,657.8,816.27,1435.2,1808.95,152.49
328.68,650.72,1185.24,1142.08,1693.2,144.42
368.48,699.36,970.08,1789.76,2086.8,219.96
384.65,816.4,1283.475,1899.7,1707.375,182.5125
389.63,936.77,1131.585,1890.12,1885.975,182.38
393.36,947.64,1461.69,2020.44,2592.6,252.555
404.95,946.4,1569.75,1656.2,1956.5,211.575
461.58,951.42,1526.04,1997.04,2755.35,251.985
481.635,1031.38,1693.02,1926.54,2602.775,218.925
454.93,1050.56,1407,1969.8,2837.45,236.845
407.175,786.9,1564.65,1573.8,2447.625,263.0625
523.74,1083.6,1164.87,1896.3,2325.225,194.145
518.52,1001.28,1542.15,1734.36,1944.45,216.795
427.77,846.72,1521.45,1905.12,2403.45,222.705
544.2,816.3,1319.685,1632.6,2312.85,197.2725
425.27,1018.67,1572.51,2373.6,2373.6,294.2275
549.92,1168.58,1738.14,2022.92,2356.8,250.41
440.13,802.59,1165.05,1656.96,2243.8,235.1675
368.16,651.95,1185.015,1472.64,1879.15,216.6775
390.415,628.81,1254.165,1658.4,1572.025,205.5725
302.4,730.8,1020.6,1524.6,1417.5,189
272.6,672.8,991.8,986,1609.5,155.15
315.28,641.82,776.94,1013.4,1379.35,168.9
249.48,589.68,935.55,1099.98,1233.225,138.915
316.94,687.7,905.97,1363.44,1495,158.47
282.2,763.6,996,1593.6,1643.4,175.96
368.48,827.2,1184.4,1744.64,1729.6,221.84
443.525,690.8,1153.95,1648.5,1707.375,184.475
472.53,945.06,1430.025,1591.68,2134.675,246.6275
402.3,1045.98,1300.77,2091.96,2235,250.32
423.15,1019.2,1242.15,1619.8,2184,247.975
551.07,923.16,1709.73,2204.28,2566.95,270.825
559.475,1002.19,1459.5,2315.74,2456.825,245.6825
398.65,1041.18,1294.44,1800.96,2227.75,257.95
420.9,1052.25,1345.05,1848.3,2745,276.7875
451.5,767.55,1395.135,1860.18,2122.05,248.325
451.47,849.3,1488.51,1770.12,2547.9,219.03
441,1031.94,1574.37,1958.04,1896.3,211.68
503.385,770.95,1333.29,1904.7,2426.225,263.03
583.51,880.21,1602.18,2235.14,2843.375,244.7775
505.73,1031.1,1443.54,2297.88,2528.65,262.685
474.65,957.93,1139.16,1881.34,1833.875,243.7975
360.49,905.06,1380.6,1764.1,1725.75,195.585
352.41,808.47,995.04,1451.1,1865.7,184.8425
302.4,730.8,992.25,1247.4,1685.25,181.125
292.9,522,739.5,1380.4,1290.5,158.05
244.905,557.37,920.505,1069.7,1238.6,136.5275
280.665,618.03,952.56,1360.8,1275.75,157.3425
331.89,526.24,1049.49,1148.16,1644.5,153.985
302.12,590.96,936.24,1593.6,1411,162.68
323.36,804.64,1206.96,1549.12,1823.6,214.32
463.15,934.15,1071.525,1444.4,1785.875,190.3625
418.645,754.39,1168.89,1608.26,1803.075,196.8875
522.99,795.66,1408.05,1519.8,2078.55,250.32
518.7,846.3,1187.55,2147.6,2661.75,211.575
569.91,1102.14,1427.13,2053.56,2237.25,263.76
476.77,973,1386.525,1790.32,2846.025,279.7375
506.52,834.82,1238.16,1913.52,2814,222.775
411.75,1043.1,1194.075,1830,2699.25,251.625
505.68,966.21,1571.22,1715.7,1941.45,232.5225
527.46,759.9,1314.18,1537.68,2346.75,250.32
392.49,820.26,1151.01,2081.52,2359.35,264.6
530.595,825.37,1605.39,2049.82,2403.55,199.54
484.61,1078.01,1364.82,2294.48,2521.95,276.92
510.64,1070.38,1693.95,2062.2,2798.7,262.685
388.35,949.3,1139.16,1967.64,1877.025,237.325
364.325,805.35,977.925,1426.62,2147.6,170.6575
369.685,697.91,1233.435,1575.48,1762.05,172.75
283.5,592.2,859.95,1449,1842.75,187.425
298.7,626.4,843.9,1032.4,1638.5,163.85
323.725,534.85,726.27,1204.82,1520.1,125.2675
255.15,493.29,731.43,1065.96,1304.1,124.74
361.79,687.7,950.82,1016.6,1465.1,149.5
325.36,803.44,1205.16,1142.08,1543.8,192.56
436.16,767.04,1342.32,1759.68,1804.8,186.12
380.725,808.55,1153.95,1365.9,2217.625,198.2125
484.965,779.26,1454.895,1492.2,2404.1,182.38
482.76,867.18,1220.31,1734.36,2235,210.09
541.45,1082.9,1515.15,1547,1933.75,245.7
419.19,838.38,1568.43,1770.96,2001.75,230.79
535.15,1089.76,1474.095,2023.84,2797.375,221.3575
515.9,994.28,1547.7,1876,2345,272.02
503.25,1052.25,1564.65,2104.5,2447.625,253.9125
474.075,866.88,1300.32,1769.88,2415.525,216.72
447,965.52,1515.33,1805.88,1966.8,239.145
449.82,917.28,1283.31,2028.6,2601.9,200.655
516.99,1070.26,1292.475,2013.54,2335.525,224.4825
543.95,949.44,1260.975,1701.08,2126.35,262.085
451.72,873.98,1458.27,1944.36,2135.85,265.14
474.65,863,1475.73,1846.82,2114.35,202.805
387.335,859.04,1369.095,1702.74,2128.425,178.3275
414.6,725.55,1140.15,1382,1606.575,186.57
359.1,711.9,859.95,1247.4,1795.5,185.85
281.3,556.8,800.4,1009.2,1276,160.95
244.905,653.08,996.51,1261.12,1351.2,122.4525
286.335,493.29,961.065,986.58,1374.975,134.6625
293.02,621.92,789.36,1016.6,1495,146.51
288.84,796.8,876.48,1235.04,1543.8,182.6
421.12,752,1184.4,1804.8,2124.4,221.84
408.2,769.3,1365.9,1428.7,2178.375,202.1375
364.76,911.9,1355.415,1724.32,1906.7,176.1625
514.05,1019.16,1166.67,1644.96,2100.9,210.09
523.25,864.5,1324.05,1965.6,2548,202.475
565.2,866.64,1681.47,1733.28,2425.65,275.535
559.475,856.24,1634.64,2062.76,2529.8,284.6025
544.04,797.3,1308.51,2213.68,2040.15,250.915
484.95,823.5,1276.425,1976.4,2584.875,210.45
410.865,1047.48,1381.59,1661.52,2031.75,223.4925
393.36,992.34,1206.9,1788,2480.85,259.26
520.38,749.7,1402.38,2010.96,2006.55,255.78
548.735,925.14,1550.97,2086.1,2108.775,267.565
588.455,1186.8,1750.53,1701.08,2645.575,239.8325
589.2,1070.38,1767.6,1747.96,2823.25,260.23
500.54,793.96,1190.94,1639.7,1877.025,213.5925
333.645,866.71,1288.56,1641.38,2109.25,210.925
297.13,718.64,1005.405,1271.44,1831.15,191.7525
365.4,648.9,1143.45,1436.4,1559.25,135.45
284.2,609,1044,1345.6,1595,169.65
247.72,529.22,776.94,1339.94,1294.9,125.2675
292.005,487.62,910.035,1099.98,1658.475,147.42
328.9,711.62,852.15,1399.32,1330.55,156.975
348.6,670.64,1065.72,1354.56,1826,144.42
417.36,782.08,958.8,1458.88,1616.8,201.16
341.475,926.3,1047.975,1444.4,2001.75,217.8375
480.82,812.42,1417.59,1939.86,2424.825,192.7425
